Recipe,Cucumber Carrot Salad,,,,,,,,
Ingredients,,,,,,,,,
1,"Heat the pan and add a tbspp of oil and roughly cut onions, garlic and ginger. When onion turns translucent, add tomatoes and cashews and fry until cooked. ",,,,,,,,
2,Set the mixture to cool completely and grind it into a smooth paste. ,,,,,,,,
3,"For gravy, heat the oil in a very low flame,  add jeera, turmeric powder, red chilli powder, jeera powder, garam masala, coriander powder and mix well in the oil until aromatic",,,,,,,,
4,Add the ground paste and cook well until oil seprates from the gravy,,,,,,,,
5,"Add water, peas and salt to desirable consistency and let the gravy boil well.",,,,,,,,
6,"In a seperate pan, heat oil/ghee and fry the paneer for 1-2 mins until the paneer turn slightly brown and keep it aside",,,,,,,,
7,"When the gravy is fully cooked, seperate some for vegans",,,,,,,,
8,"In the remaining gravy, add the paneer, crushed kasuri methi and cilantro and cook for 1-2 mins. ",,,,,,,,
9,For Vegans:,,,,,,,,
10,Remove some gravy before adding paneer,,,,,,,,
11,Add extra firm tofu and let it cook for 2-3 mins,,,,,,,,
12,Garnish with cilantro and crushed kasuri methi,,,,,,,,
Reference ,https://hebbarskitchen.com/matar-paneer-recipe-mutter-dhaba-style/#Recipe_card_for_Matar_Paneer,,,,,,,,
,,,,,,,,,
Recipe,Mixed Green Salad with Cilantro Lime dressing,,,,,,,,
Ingredients,,,,,,,,,
,Romaine lettuce,200,g,,,,,,
,Spring Mix,200,g,,,,,,
,Cucumber,250,g,,,,,,
,Sunflower seeds,25,g,,,,,,
,Olive oil,2,tbsp,,,,,,
,Lemon Juice Concentrate,2,tbsp,,,,,,
,Maple syrup,1,tsp,,,,,,
,Garlic,5,g,,,,,,
,Cilantro,1,bunches,,,,,,
,Jeera powder,0.5,tsp,,,,,,
,Black pepper,0.5,tsp,,,,,,
,Salt,To taste,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Make the salad dressing by blending all the ingredients above in the vitamix.  Adjust the consistency with water as needed,,,,,,,,
2,Chill the dressing for an hour or so before serving,,,,,,,,
3,"Roughly Chop Romaine lettuce, chop Cucumber and tomato into bite sized pieces",,,,,,,,
4,Mix all the ingredients,,,,,,,,
5,Serve with dressing on the side,,,,,,,,
,,,,,,,,,
Recipe,Black Chana Masala Curry,,,,,,,,
Ingredients,,,,,,,,,
,Black Chana,350,g,,,,,,
,Ajwain,2.5,g,,,,,,
,Besan,3,tbsp,,,,,,
,Hing,0.25,tsp,,,,,,
,Turmeric Powder,1.0,tsp,,,,,,
,Green Chillies,4,g,,,,,,
,Red Chillies,1,tsp,,,,,,
,Jeera Powder,0.75,tsp,,,,,,
,Coriander Powder,0.75,tsp,,,,,,
,Jaggery,2,tbsp,,,,,,
,Cilantro,1,bunches,,,,,,
,Sunflower Oil,2,tbsp,,,,,,
,Curry Leaves,0.5,packets,,,,,,
