Steps to Prepare,,,
1,assume we need 2.5x water to rice.  please check to see if we need to add a bit more water depending on age of rice,,
2,Rice cooker  (can make 4kg Red Rice in one go),,
3,Wash the rice 3-4 times and soak it in measured fresh water for 3.5 hours in the rice cooker,,
4,Add 2 tbspp oil and set the rice cooker to cook 1.5 hours before you need to serve it,,
5,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
6,Open pot cooking (for the remaining quantity),,
7,Plan this 4 hours before meal time.  Soak rice in a pot for 3.5 hours with the measured quantity of water,,
8,Start cooking the rice approx 2 hours before you need to serve it.  Add 2 tbspp oil while cooking,,
9,"let the rice cook uncovered.  Once most of the water is absorbed, close the lid and lower the flame.  Cook for 15 minutes and switch off the flame",,
10,Let it sit for 30 min before you open and turn the rice for serving,,
,,,
,,,
Recipe,Rice (Sona  Masoori),,
Ingredients,,,
,Sona Masoori Rice,2.5,cup
,Water,7.5,cup
,Salt,to taste,
,,,
,,,
Steps to Prepare,,,
,,,
1,Rice cooker  (can make 5 kg raw rice in one go),,
2,Wash the rice 3-4 times and soak it in measured fresh water for 1 hour in the rice cooker,,
3,Set the rice cooker to cook 1.5 hours before you need to serve the rice,,
4,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
5,,,
6,,,
7,Open pot cooking (for the remaining quantity),,
8,Plan this 2.5 hours before meal time,,
9,Soak rice in a pot for an hour with the measured quantity of water (usually 2x),,
10,Start cooking the rice approx 1.5 hours before you need to serve it,,
11,"let the rice cook uncovered.  Once most of the water is absorbed, close the lid and lower the flame",,
12,Cook exactly for 15 minutes (set a timer).  At the end of 15 minutes switch off the flame.  Do not open the lid,,
13,Let it sit for 30 min before you open and turn the rice for serving,,
,,,
,,,
Recipe,Oatmeal with Toppings,,
Ingredients,,,
,,,
,Rolled Oats,1.5,cup
,Water,4.5,cup
,Almonds,50,g
,Pecans,50,g
,Raisins,50,g
,Maple syrup,25,ml
,Ghee,2,tbsp
,Chutney podi,20,g
,,,
Steps to Prepare,,,
1,Bring a water to a rolling boil.  Important step to ensure that the oatmeal doesnt have a gooey texture,,
2,Add Oats and let the oats cook on medium heat,,
3,Add a dash of salt and turn to a simmer until cooked through.  Add more water if the oatmeal is too thick,,
3,Serve with toppings on the side that people can help themselves with,,
4,"Sweet toppings include bananas, almonds, pecans, maple syrup",,
5,"savory toppings include chutney podi, ghee and gingelly oil",,
,,,
,,,
Recipe,Sprouted Moong with Khakra,,
Ingredients,,,
,Whole Green Mung,2,cup
,Turmeric Powder,1,tsp
,Coconut oil,1,tbsp
,Ghee,2,tbsp
,Mustard Seeds,1,tsp
,Jeera,1,tsp
,Hing,0.25,tsp
,Red chilly powder,0.5,tsp
,Coriander powder,1,tsp
,Lemon juice concentrate,2,tbsp
,Cilantro,0.25,bunches
,Khakra,8,pieces
,Salt,to taste,
,Water,6,cup
,,,
Steps to Prepare,,,
1,"Important Prep:  Wash and soak the moong for about 8 hours.  Drain the water, cover it with a piece of cloth to let them sprout",,
2,Take a large pot and transfer the sprouted moong and about 2x the amount of water.  Add salt and turmeric and let it cook partially covered,,
3,"Once the moong has cooked, remove about 20% of it aside to make a tadka with coconut oil.  Rest will have seasoning with ghee",,
4,"Vegan:  In a pan heat up coconut oil.  When hot add mustard seeds, jeera, hing, little turmeric, coriander powder, some cilantro",,
5,"      Switch off the flame, add red chilly powder and mix.  Add the seasoning to the vegan portion of the cooked moong",,
6,"For the regular seasoning make it the same style as vegan, except use ghee instead of coconut oil",,
7,Add lemon juice and cilantro and mix well.  Adjust for salt and the moong are ready to serve,,
8,Serve with khakra on the side - this type of breakfast is consumed in rajasthan / kutch region of india,,
,,,
,,,
Recipe,Jasmine Rice,,
Ingredients,,,
,Jasmine Rice,4,cup
,Water,5.32,cup
,Sunflower Oil,1,tsp
,Salt,to Taste,
,,,
Steps to Prepare,,,
1,Rice cooker  (can make 7 kg raw rice in one go),,
2,Wash the rice 3-4 times and add measured fresh water,,
3,Add 2 tbspp oil and set the rice cooker to cook 1.5 hours before you need to serve it,,
4,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
5,Open pot cooking (for the remaining quantity),,
6,Wash the rice 3-4 times and add measured fresh water,,
7,Start cooking the rice approx 1.5 hours before you need to serve it.  Add 2 tbspp oil while cooking,,
8,"let the rice cook uncovered on medium heat.  Once most of the water is absorbed, close the lid and lower the flame",,
9,Cook exactly for 15 minutes (set a timer).  At the end of 15 minutes switch off the flame.  Do not open the lid,,
,,,
,,,
