,Hing,0.5,tsp
,Curry leaves,0.1,packets
,Salt,to taste,
,Black salt,1,g
,Black pepper,1,tsp
,Turmeric Powder,1,tsp
,Garam masala,1,tsp
,Lemon juice concentrate,2,tsp
,Cilantro,0.5,bunches
,,,
,,,
Steps to Prepare,,,
1,Wash the beans & pat them dry, then cut the tops and the bottom slightly & chop them into 1-2 cm pieces,,
2,Cut the peeled potatoes into small cubes.  Make a coarse past of ginger, garlic & green chillies (okay to skip garlic if you'd like),,
3,Set a pot over high flame, add the mustard oil.  Let it heat up until it reaches its smoking point.  Then lower the flame & let the oil cool down slightly.,,
4,Add mustard & cumin seeds, red chilli, asafoetida, curry leaves & the ginger garlic paste, stir well & cook briefly,,
5,Next, add the diced potatoes, stir well & cook over high flame for 1-2 minutes, then cover & cook over low flame until the potatoes get 85% cooked,,
6,Take the lid off & stir the potatoes at intervals for about 6-8 minutes,,
7,Once the potatoes are 90% cooked, add the beans along with salt, black salt, black pepper & turmeric powder,,
8,Stir well then cover & cook over low flame for 5-6 minutes or until the beans get cooked.  Dont overcook the beans - the texture of the beans should be slightly crunchy,,
9,Give it a stir 2-3 times while cooking just to ensure that the potatoes don’t stick to the bottom.,,
10,Once cooked, add garam masala, lemon juice & fresh cilantro and mix everything properly,,
,,,
Reference:,https://www.youtube.com/watch?v=chSO4P_UBV8,,
,,,
Recipe,Mexican Rice,,
Ingredients,,,
,,,
,Basmati Rice,2.5,cup
,Sunflower Oil,3,tbs
,Garlic,20,g
,Onion,200,g
,Tomato paste,6,tsp
,Bouillon,10,g
,Peas,1,cup
,Jalapeno,10,g
,cilantro,0.10,bunches
,Tone's Cilantro Lime,8,g
,Water,5,cup
,,,
Steps to Prepare,,,
1,Rinse the rice 2-3 times until the water runs clear. Set aside.,,
2,In a large saucepan over medium-high heat, add the oil. Once hot, add the rice and stir to combine,,
3,Cook over medium heat, stirring frequently, until the rice is lightly roasted all over (about 10 minutes).,,
4,Add tomato paste, garlic, and diced onion to the pan and saute for 3-4 minutes.   Add bouillion, salt, peas, jalapeno and Tone's cilantro lime mix,,
5,Add water (1.25x of the rice).  Bring to a boil, then cover, reduce heat to low and cook for about 20 minutes or until the water is completely absorbed. ,,
6,Remove from heat and allow to rest for 5 minutes before fluffing with a fork.,,
,,,
,,,
Recipe,Black Beans,,
Ingredients,,,
,,,
,Black Beans,400,g
,Olive Oil,5,tbs
,Onion,200,g
,Garlic,25,g
,Jalapeno,10,g
,Jeera powder,1,tsp
,Mexican dried oregano,2.5,tsp
,Smoked paprika,2,tsp
,Salt,to taste,
,Black pepper,5,g
,Crushed tomatoes,500,g
,Lemon juice concentrate,2,tbs
,Cilantro,0.5,bunches
,,,
,,,
Steps to Prepare,,,
1,Soak black beans overnight and add a bit of salt and baking soda to the soaking solution.  Drain in the morning and wash once,,
2,Pressure cook the beans with bay leaves.  Once the pressure cook has its first whistle lower the flame to minimum and cook the beans for 45 minutes,,
3,Let the pressure drop normally.  Open the cooker and discard the bay leaves and take out extra liquid and store on the side,,
4,Heat a large sauté pan over medium heat with half the oil.  Once hot, add the onion with a pinch of salt and cook until the onion has softened and is golden,,
5,Add the garlic, jalapeño, cumin powder, mexican oregano and paprika.  Cook for 1 to 2 minutes, stirring frequently.,,
6,Add the tomatoes and let it cook until the tomatoes are cooked properly and the liquid evaporates.  Add black pepper at this stage.,,
7,Add the black beans with some of liquid  and bring to a simmer until thickened and saucy. If it gets too thick, add the reserve water from the pressure cooker,,
8,Stir in the remaining olive oil, a squeeze of lime juice, and cilantro. Taste, and add salt/pepper or more lime juice to taste.,,
9,Final texture of the beans should be saucy, not dry, separate beans,,
Reference:,https://rainbowplantlife.com/mexican-black-beans/#wprm-recipe-container-26498,,
,,,
,,,
Recipe,Charred Corn and Tomato Salsa,,
Ingredients,,,
,,,
,Tomatoes,450,g
,Jalapeno,5,g
,Onion,100,g
,Lemon juice concentrate,3,tbs
,Salt,to taste,
,Charred Corn,300,g
,Olive oil,2,tbs
,Garlic,1,tbs
,Cilantro,0.5,bunches
,Black pepper,1,tsp
,,,
Steps to Prepare,,,
1,Thaw the frozen charred corn and bring to room temperature,,
2,Chop the onions in a food processor.  Lightly pulse the tomatoes in the food processor separately.  ,,
3,Mince garlic and jalapenos into a coarse paste.  Finely chop the cilantro,,
4,Mix everything together in a bowl.  Add olive oil, salt, pepper, lemon juice and mix,,
5,Add cilantro, garlic and jalapenos and mix,,
6,Let it marinate for 20-30 minutes before serving,,
,,,
,,,
Recipe,Guacamole,,
Ingredients,,,
,,,
,Avocado,6,pieces
,Onion,100,g
,Tomatoes,200,g
,Cilantro,0.25,bunches
,Green chillies,5,g
,Garlic,5,g
,Lemon juice concentrate,3,tbs
,Romaine Lettuce,200,g
,Baby spinach,100,g
,Salt,to taste,
,,,
Steps to Prepare,,,
1,Slice the avocados in half, remove the pit, and scoop into a mixing bowl.,,
2,Mash the avocado with a potato masher and make it as chunky or smooth as you'd like. Chop the onions and tomatoes into small cubes,,
3,Finely chop the onions and cut the tomatoes into small cubes,,
4,Add the remaining ingredients and stir together. Give it a taste test and add a pinch more salt or lime juice if needed.,,
,Serve separately on the side:  Wash the lettuce and pat dry.  Cut into bite sized pieces and serve the lettuce and baby spinach mixed with the meal.,,
,,,
Recipe,Red Onion Sambar ,,
Ingredients,,,
,Toor dal,1.75,cup
,Tamarind,25,g
,Turmeric powder,1,tsp
,Sambar powder,3,tbs
,Onion,300,g
,Tomatoes,100,g
,Cilantro,0.5,bunches
,Sesame (Gingelly) Oil,2,tbs
,Methi seeds,0.5,tsp
,Mustard seeds,1,tsp
,Jeera,1,tsp
,Hing,0.25,tsp
,Red Chillies,5,g
,Curry leaves,0.5,packets
,Salt,to taste,
,,,
,,,
Steps to prepare ,,,
1,Rinse the toor dal 2-3 times in water and soak it with 3x water and some hing and a few drops of oil for 1-2 hours,,
2,Pressure cook it:  once the pot is at full pressure reduce the heat and let it cookfor 15 minutes,,
3,Switch off the flame and let the pressure drop naturally,,
4,Once the pressure drops, open the lid and whisk the cooked dal together until its smooth,,
5,Cut onions and tomatoes into 3/4 cubes,,
6,Soak the tamarind in hot water for an hour.  Squeeze it with your hands and remove the pulp and set aside,,
7,Heat the oil in a pot.  Once hot add mustard seeds, jeera, methi, hing, turmeric, dry red chillies and curry leaves,,
8,Add the diced onion and saute until translucent. Add the tomato and salt to taste,,
9,Saute until the tomato is cooked well.  Add the green pepper and saute,,
10,Add the sambar powder and salt and saute for 1-2 minutes,,
11,Add the tamarind water and let it cook on a low flame for 10 minutes ,,
12,Add the cooked dal and mix.  Adjust salt and sambar powder if needed,,
13,Finely chop the cilantro and garnish just before serving,,
,,,
,,,
Recipe,Purple Cabbage Salad,,
Ingredients,,,
,Purple Cabbage,400,g
,Frozen coconut,65,g
,Lemon juice concentrate,2,tbs
,Mustard seeds,1,tsp
,Urad dal,2,tsp
,Hing,0.25,tsp
